metric,epochs,n,mean,sd,min,max,seeds
mAP50,20,3,0.497767,0.003044,0.4954,0.5012,0|1|2
mAP50,40,1,0.5198,,0.5198,0.5198,0
mAP50,100,3,0.536,0.001997,0.5343,0.5382,0|1|2
mAP50_95,20,3,0.216667,0.002003,0.2146,0.2186,0|1|2
mAP50_95,40,1,0.2314,,0.2314,0.2314,0
mAP50_95,100,3,0.2431,0.001908,0.2413,0.2451,0|1|2
da_mIoU,20,3,0.856167,0.003037,0.8528,0.8587,0|1|2
da_mIoU,40,1,0.8594,,0.8594,0.8594,0
da_mIoU,100,3,0.8712,0.003951,0.8673,0.8752,0|1|2
da_fg,20,3,0.772067,0.004576,0.767,0.7759,0|1|2
da_fg,40,1,0.7769,,0.7769,0.7769,0
da_fg,100,3,0.7946,0.005903,0.7888,0.8006,0|1|2
lane_mIoU,20,3,0.595867,0.003101,0.5936,0.5994,0|1|2
lane_mIoU,40,1,0.5992,,0.5992,0.5992,0
lane_mIoU,100,3,0.5973,0.003576,0.5935,0.6006,0|1|2
lane_fg,20,3,0.214167,0.005029,0.2105,0.2199,0|1|2
lane_fg,40,1,0.2203,,0.2203,0.2203,0
lane_fg,100,3,0.2179,0.005742,0.2118,0.2232,0|1|2
