model,cell,construction,seed,params,flops_G,mAP50,mAP50_95,da_mIoU,da_fg_iou,lane_mIoU,lane_fg_iou,det_AP50_small,det_AP50_medium,det_AP50_large,det_AP5095_small,det_AP5095_medium,det_AP5095_large,det_recall50_small,det_recall50_medium,det_recall50_large,p50_latency_ms,p95_latency_ms,eval_fps,gpu_memory_mib,parameters,flops,metric_path
baseline,base_s0,lean + old anchors,0,201366,1.0796,0.3543,0.1273,0.8488,0.7612,0.5847,0.1943,,,,,,,,,,8.536,9.823,178.18,30.5,201366,1079628800.0,experiments/phase4a/exp4A_r2_z16_e20_eval/metrics.json
baseline,base_s1,lean + old anchors,1,201366,1.0796,0.3452,0.119,0.8552,0.7707,0.5808,0.1884,0.2169,0.3054,0.2109,0.0587,0.1421,0.1241,0.7098,0.9149,0.9581,2.66,2.745,152.78,30.5,201366,1079628800.0,experiments/phase6/round4/r4_R4A0o1_eval/metrics.json
baseline,base_s2,lean + old anchors,2,201366,1.0796,0.3521,0.1267,0.853,0.7675,0.5862,0.1968,0.2087,0.3559,0.2762,0.0571,0.1702,0.1649,0.6991,0.9094,0.959,2.344,2.441,156.75,30.5,201366,1079628800.0,experiments/phase6/round4/r4_R4A0o2_eval/metrics.json
+Detection,det_s0,lean + k-means,0,201366,1.0796,0.4908,0.2112,0.842,0.7511,0.5844,0.1936,0.2999,0.5859,0.5785,0.0928,0.3375,0.3924,0.7113,0.9695,0.9869,2.522,2.569,160.07,30.5,201366,1079628800.0,experiments/phase6c/exp9_r2z16_km_eval/metrics.json
+Detection,det_s1,lean + k-means,1,201366,1.0796,0.4982,0.2171,0.8567,0.773,0.5824,0.191,,,,,,,,,,2.345,2.356,158.79,30.5,201366,1079628800.0,experiments/phase4a/exp4B_danc_z16_e20_s1_eval/metrics.json
+Detection,det_s2,lean + k-means,2,201366,1.0796,0.496,0.2142,0.8555,0.7711,0.5813,0.1893,,,,,,,,,,3.365,5.918,119.71,30.5,201366,1079628800.0,experiments/phase4a/exp4B_danc_z16_e20_s2_eval/metrics.json
+Lane,lane_s0,lean + full 1/4 + old,0,201878,1.6391,0.3612,0.1292,0.8533,0.7678,0.5988,0.2192,,,,,,,,,,2.464,2.831,141.34,42.2,201878,1639142400.0,experiments/phase4a/exp4B_l14f1_z16_e20_eval/metrics.json
+Lane,lane_s1,lean + full 1/4 + old,1,201878,1.6391,0.3553,0.1268,0.8546,0.7698,0.5954,0.2136,,,,,,,,,,2.437,2.523,137.55,42.2,201878,1639142400.0,experiments/phase4a/exp4B_l14f1_z16_e20_s1_eval/metrics.json
+Lane,lane_s2,lean + full 1/4 + old,2,201878,1.6391,0.36,0.1294,0.8565,0.7726,0.5999,0.2212,,,,,,,,,,2.672,2.679,138.7,42.2,201878,1639142400.0,experiments/phase4a/exp4B_l14f1_z16_e20_s2_eval/metrics.json
+Both,both_s0,lean + full 1/4 + k-means,0,201878,1.6391,0.5047,0.221,0.8551,0.7705,0.5962,0.2149,,,,,,,,,,2.709,2.964,146.38,42.2,201878,1639142400.0,experiments/phase6/exp6_combo20_eval/metrics.json
