stage,arm,anchor_set,rule,bucket,n_gt,mean_best_iou,zero_pos_rate,mean_matches,pos_targets
zero_training,D,"shipped (YOLOP own, live)",project,ALL,32421,0.4161,0.4941,0.673,21824
zero_training,D,"shipped (YOLOP own, live)",project,small(<32),22381,0.4242,0.4441,0.774,17331
zero_training,D,"shipped (YOLOP own, live)",project,medium(32-96),7623,0.4078,0.5768,0.492,3747
zero_training,D,"shipped (YOLOP own, live)",project,large(>=96),2417,0.3673,0.6959,0.309,746
zero_training,D,"shipped (YOLOP own, live)",yolov5,ALL,32421,0.4161,0.0057,3.690,119621
zero_training,D,"shipped (YOLOP own, live)",yolov5,small(<32),22381,0.4242,0.0034,4.288,95968
zero_training,D,"shipped (YOLOP own, live)",yolov5,medium(32-96),7623,0.4078,0.0018,2.644,20153
zero_training,D,"shipped (YOLOP own, live)",yolov5,large(>=96),2417,0.3673,0.0389,1.448,3500
zero_training,D-,"aspect-flip of shipped",project,ALL,32421,0.5419,0.1666,1.365,44268
zero_training,D-,"aspect-flip of shipped",project,small(<32),22381,0.5333,0.1668,1.435,32118
zero_training,D-,"aspect-flip of shipped",project,medium(32-96),7623,0.5860,0.0959,1.389,10585
zero_training,D-,"aspect-flip of shipped",project,large(>=96),2417,0.4826,0.3877,0.647,1565
zero_training,D-,"aspect-flip of shipped",yolov5,ALL,32421,0.5419,0.0033,4.557,147745
zero_training,D-,"aspect-flip of shipped",yolov5,small(<32),22381,0.5333,0.0013,5.224,116914
zero_training,D-,"aspect-flip of shipped",yolov5,medium(32-96),7623,0.5860,0.0013,3.496,26649
zero_training,D-,"aspect-flip of shipped",yolov5,large(>=96),2417,0.4826,0.0285,1.730,4182
zero_training,D+,"IoU-k-means refit (n=3000)",project,ALL,32421,0.6805,0.0374,2.005,65020
zero_training,D+,"IoU-k-means refit (n=3000)",project,small(<32),22381,0.6589,0.0496,1.647,36866
zero_training,D+,"IoU-k-means refit (n=3000)",project,medium(32-96),7623,0.7255,0.0122,2.826,21543
zero_training,D+,"IoU-k-means refit (n=3000)",project,large(>=96),2417,0.7386,0.0046,2.735,6611
zero_training,D+,"IoU-k-means refit (n=3000)",yolov5,ALL,32421,0.6805,0.0004,4.408,142899
zero_training,D+,"IoU-k-means refit (n=3000)",yolov5,small(<32),22381,0.6589,0.0006,3.618,80970
zero_training,D+,"IoU-k-means refit (n=3000)",yolov5,medium(32-96),7623,0.7255,0.0001,6.362,48500
zero_training,D+,"IoU-k-means refit (n=3000)",yolov5,large(>=96),2417,0.7386,0.0000,5.556,13429
zero_training,ctx_R2old,"R2 old aspect-flipped default",project,ALL,32421,0.4069,0.4851,0.688,22297
zero_training,ctx_R2old,"R2 old aspect-flipped default",project,small(<32),22381,0.4049,0.4963,0.676,15130
zero_training,ctx_R2old,"R2 old aspect-flipped default",project,medium(32-96),7623,0.4095,0.4442,0.735,5600
zero_training,ctx_R2old,"R2 old aspect-flipped default",project,large(>=96),2417,0.4162,0.5106,0.648,1567
zero_training,ctx_R2old,"R2 old aspect-flipped default",yolov5,ALL,32421,0.4069,0.0042,3.455,112012
zero_training,ctx_R2old,"R2 old aspect-flipped default",yolov5,small(<32),22381,0.4049,0.0058,3.353,75054
zero_training,ctx_R2old,"R2 old aspect-flipped default",yolov5,medium(32-96),7623,0.4095,0.0008,3.852,29361
zero_training,ctx_R2old,"R2 old aspect-flipped default",yolov5,large(>=96),2417,0.4162,0.0004,3.143,7597
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",project,ALL,32421,0.6805,0.0386,2.006,65052
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",project,small(<32),22381,0.6587,0.0512,1.647,36870
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",project,medium(32-96),7623,0.7261,0.0123,2.829,21565
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",project,large(>=96),2417,0.7391,0.0046,2.738,6617
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",yolov5,ALL,32421,0.6805,0.0005,4.409,142951
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",yolov5,small(<32),22381,0.6587,0.0007,3.617,80963
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",yolov5,medium(32-96),7623,0.7261,0.0001,6.375,48595
zero_training,ctx_R2km,"R2 k-means (won +0.1392)",yolov5,large(>=96),2417,0.7391,0.0000,5.541,13393
