model,cell,rung,supervision,epochs,seed,params,flops,mAP50,mAP50_95,det_AP50_small,det_AP50_medium,det_AP50_large,det_AP5095_small,det_AP5095_medium,det_AP5095_large,det_recall50_small,det_recall50_medium,det_recall50_large,det_n_pred,det_n_gt,da_mIoU,da_fg_iou,da_pixel_acc,lane_mIoU,lane_fg_iou,lane_pixel_acc,parameters,model_size_mb,flops_G,p50_latency_ms,p95_latency_ms,avg_latency_ms,eval_fwd_ms,eval_fps,gpu_memory_mib,wall_min,git_commit
r2,R4-R1up14,R4R1up,km,20,0,,1612928000.0,0.4942,0.2133,0.3061,0.5985,0.5683,0.0955,0.3453,0.3921,0.7086,0.9717,0.9852,2725512,108363,0.8491,0.7616,0.9473,0.5923,0.2078,0.977,201366,0.805,1.6129,2.386,2.798,2.484,6.424,155.68,32.4,142,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-R2thin14,R4R2thin,km,20,0,,1165644800.0,0.4954,0.2146,0.3013,0.5975,0.5913,0.0928,0.3471,0.4046,0.7194,0.9707,0.9869,2730712,108363,0.8528,0.767,0.9489,0.5946,0.2121,0.9773,192566,0.77,1.1656,2.351,2.371,2.352,6.161,162.3,34.1,139,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-R3min14,R4R3min,km,20,0,,1017369600.0,0.4912,0.2132,0.2911,0.6146,0.5969,0.0891,0.3556,0.4063,0.7078,0.9728,0.9868,2731157,108363,0.8444,0.7547,0.9452,0.4959,0.0,0.9917,189638,0.759,1.0174,2.25,2.269,2.248,6.361,157.2,33.3,135,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-A0lean_km,R4A0s1,km,20,1,,1079628800.0,0.4984,0.2162,0.3034,0.6056,0.6525,0.0953,0.3454,0.4379,0.7067,0.9701,0.9888,2834021,108363,0.8617,0.7803,0.9526,0.5808,0.1886,0.9733,201366,0.805,1.0796,2.663,2.686,2.59,6.502,153.79,30.5,132,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-A0lean_km,R4A0s2,km,20,2,,1079628800.0,0.4938,0.2129,0.3076,0.5937,0.5877,0.0972,0.3395,0.3972,0.6926,0.9713,0.9865,2718176,108363,0.8598,0.7775,0.9519,0.5847,0.1943,0.9753,201366,0.805,1.0796,7.67,7.685,7.621,6.247,160.08,30.5,132,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-Umin_km,R4Umin,km,20,0,,1615840000.0,0.5326,0.2413,0.3455,0.6285,0.6905,0.1136,0.3824,0.4885,0.725,0.9744,0.9907,2628379,108363,0.8535,0.7682,0.9491,0.4959,0.0,0.9917,322390,1.29,1.6158,2.441,2.527,2.4,5.472,182.76,40.8,167,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-Ufloor_km,R4Us1,km,20,1,,1664992000.0,0.5407,0.2445,0.3545,0.6413,0.6981,0.116,0.3892,0.4938,0.7382,0.9745,0.9916,2661582,108363,0.8654,0.786,0.9542,0.5851,0.1961,0.9742,333862,1.335,1.665,2.409,2.582,2.451,5.497,181.92,40.9,162,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R4-Ufloor_km,R4Us2,km,20,2,,1664992000.0,0.5406,0.246,0.3427,0.6756,0.6729,0.1118,0.4073,0.4725,0.7232,0.9754,0.9903,2548143,108363,0.8675,0.7891,0.9551,0.5891,0.2024,0.9759,333862,1.335,1.665,2.304,2.414,2.329,6.873,145.5,40.9,163,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R5-R2thin40,R4R2thin40,km,40,0,,1165644800.0,0.5198,0.2314,0.3248,0.6434,0.6401,0.1037,0.3797,0.4456,0.7183,0.9763,0.9898,2722082,108363,0.8594,0.7769,0.9516,0.5992,0.2203,0.9782,192566,0.77,1.1656,4.454,4.65,3.928,6.563,152.38,34.1,277,0,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
r2,R6-R2thinL4,R4R2thinL4,km,20,0,,1165644800.0,0.3648,0.1358,0.1662,0.4785,0.4237,0.0413,0.2331,0.2494,0.6447,0.9537,0.9776,2962303,108363,0.8301,0.7336,0.939,0.5839,0.1902,0.9776,192566,0.77,1.1656,6.799,8.22,5.869,6.634,150.74,34.1,142,0,ba7b23dbe10dd84a489bfb6fd0cd7af3e1b199e3
